标题,户型,面积,朝向,楼层,建造年份,小区名称,区域,商圈,地址,标签,总价(万),单价(元/㎡),面积_数值,总价_数值,单价_数值,建造年份_数值,房间数
佳兆业城市广场三房，     ，厅出阳台，光线充足,3室2厅1卫,89.46㎡,南,中层(共47层),2013年建造,佳兆业城市广场(一期),龙岗,坂田,坂雪岗大道1166号,"南,满五年,近地铁,车位充足",375.0,41919元/㎡,89.46,375.0,41919.0,2013.0,3.0
珺奕府5栋  单位，360万买3房来电立享20万团购优惠,3室2厅2卫,83㎡,南,,2026年建造,卓越·珺奕府,龙华,龙华中心区,布龙路与和平路交汇处西北侧,"南北通透,厨卫全明,主卧套房,多轨交",423.0,50964元/㎡,83.0,423.0,50964.0,2026.0,3.0
龙华核心区新盘4万单价 3地铁口交汇 自带商业,2室2厅1卫,67㎡,东南,,2027年建造,塘城NEXTTOWN,龙华,龙华,布龙路与建设东路交汇处南侧,"客餐厅相连,厨卫全明,卧室全朝南,多轨交",433.0,64627元/㎡,67.0,433.0,64627.0,2027.0,2.0
600万三房新房精装现楼 深业颐樾府 龙华实验  旁 地铁口,3室2厅1卫,99㎡,南,,2025年建造,深业颐樾府(新房),龙华,莱蒙水榭春天,民塘路与上塘路交汇处（龙华区实验学校旁）,"主卧套房,厨卫全明,卧室全朝南,多轨交",714.0,72122元/㎡,99.0,714.0,72122.0,2025.0,3.0
大花园 看湖景和山景 容积率1.99 现楼发售,4室2厅2卫,176㎡,南,,2025年建造,龙岸·君粼,龙华,梅林关口,雅园路与华南路交汇处,"客餐厅相连,主卧套房,私密性好,轨交房",1379.0,78353元/㎡,176.0,1379.0,78353.0,2025.0,4.0
买一层得五层！大露台！东莞的价深圳的房！戎马一生终有一墅！,7室2厅4卫,164.04㎡,南北,共3层,2006年建造,中央悦城,龙岗,龙岗中心城,长兴北路3号,"南北,唯一住房,近地铁,绿化率高",400.0,24385元/㎡,164.04,400.0,24385.0,2006.0,7.0
龙珠花园(龙岗) 交通便利 近地铁 精装好房 产权清晰,2室1厅1卫,60.4㎡,北,高层(共30层),1999年建造,龙珠花园(龙岗),布吉,布吉关,京南路20号,"北,满五年,近地铁,绿化率高",138.0,22848元/㎡,60.4,138.0,22848.0,1999.0,2.0
业主诚售 宏发世纪城(二期) 车位充足 有电梯 房龄新,3室2厅2卫,88.09㎡,南北,高层(共30层),2017年建造,宏发世纪城(二期),宝安,石岩,宝石东路,"南北,满五年,近地铁,车位充足",352.0,39960元/㎡,88.09,352.0,39960.0,2017.0,3.0
区政府旁，叠加别墅，精装修，带私家花园,4室2厅2卫,205.19㎡,南,低层(共15层),2007年建造,桐林花园,盐田,沙头角,海山路99号,"南,有电梯,近地铁,车位充足",890.0,43375元/㎡,205.19,890.0,43375.0,2007.0,4.0
真笋盘，岗厦北正规两房二字头出售，高楼层视野好，看房找小杨,2室1厅1卫,61㎡,南北,高层(共32层),2001年建造,彩天名苑,福田,岗厦,彩田南路3016号,"南北,满五年,近地铁",290.0,47541元/㎡,61.0,290.0,47541.0,2001.0,2.0
中粮祥云 楼龄新 商业配套成熟 近医院 交通便捷 南向采光好,3室2厅2卫,89.54㎡,南,中层(共30层),2018年建造,中粮祥云,龙岗,爱联,爱华路13号,"南,满五年,近地铁,车位充足",348.0,38866元/㎡,89.54,348.0,38866.0,2018.0,3.0
福田必看笋盘（120万卖，房产证在手）红本过户，包按揭,3室2厅2卫,88㎡,南,低层(共15层),2017年建造,金梅花园,福田,下梅林,梅林路159号,"南,满五年,近地铁",188.0,21364元/㎡,88.0,188.0,21364.0,2017.0,3.0
勤诚达365急售可谈可分期包税过户！送车位13号线地铁南向,4室2厅2卫,143.49㎡,南,中层(共48层),2020年建造,勤诚达正大城悦园,光明,光明,光侨路,"南,满五年",435.0,30316元/㎡,143.49,435.0,30316.0,2020.0,4.0
"两百九可以谈,西荟城，地铁口附近，业主诚心出售，看房方便",3室2厅2卫,89.99㎡,东南,低层(共32层),2015年建造,西荟城三期,宝安,沙井,"新沙路,近教育北路","东南,满五年,近地铁",310.0,34449元/㎡,89.99,310.0,34449.0,2015.0,3.0
信义御城 精装四房 来电看房 楼下天虹商场 地铁口 价可谈,4室2厅2卫,113.81㎡,南北,中层(共32层),2020年建造,信义御城(一期),龙岗,横岗,"松茂路,近松柏路","南北,满五年,近地铁,户型方正",248.0,21791元/㎡,113.81,248.0,21791.0,2020.0,4.0
华清园安业花园 满五   出行方便 精装修 小三房 带电梯,3室1厅2卫,74.32㎡,南北,中层(共17层),2000年建造,华清园安业花园,罗湖,黄贝岭,经二路38号,"南北,满五年,近地铁",230.0,30948元/㎡,74.32,230.0,30948.0,2000.0,3.0
得房率高 带电梯 小区新 朝南 商品房 近医院,4室2厅2卫,89.01㎡,南,低层(共33层),2017年建造,恒裕嘉城,龙岗,龙岗中心城,龙升路36号,"南,满二年,近地铁",250.0,28087元/㎡,89.01,250.0,28087.0,2017.0,4.0
粤海城带100平院子 七房四卫 南向采光好 小郑有密码看房,7室3厅4卫,96㎡,南,低层(共47层),2020年建造,粤海城,罗湖,布心,东昌路3008号,"南,满二年,近地铁,车位充足",690.0,71875元/㎡,96.0,690.0,71875.0,2020.0,7.0
两梯三户小高层的好房子公园大地精装三房好楼层视野无遮挡,3室2厅2卫,112.7㎡,南北,中层(共13层),2012年建造,公园大地,龙岗,龙岗中心城,龙翔大道6063号,"南北,近地铁,车位充足,采光较好",365.0,32387元/㎡,112.7,365.0,32387.0,2012.0,3.0
调价41 急售，南联地铁口50 ，大四房！摩尔城朝南空中花园,4室2厅2卫,142.56㎡,东南,低层(共31层),2020年建造,鹏达摩尔城,龙岗,龙岗中心城,龙岗大道6002号,"东南,满五年,近地铁,车位充足",280.0,19641元/㎡,142.56,280.0,19641.0,2020.0,4.0
悠山美地家园位于深圳市龙新区布龙路,3室2厅1卫,81.05㎡,西南,中层(共22层),2015年建造,悠山美地家园,龙华,大浪,布龙路,"西南,满二年,近地铁,车位充足",247.0,30476元/㎡,81.05,247.0,30476.0,2015.0,3.0
颐安都会中央 业主调价60出！！豪华装修 东南朝向 来电看房,4室2厅2卫,107.93㎡,东南,低层(共31层),2020年建造,颐安都会中央(四期),龙岗,大运,红棉路,"东南,满五年,近地铁,户型方正",364.0,33726元/㎡,107.93,364.0,33726.0,2020.0,4.0
颐安都会中央三期 精装三房 朝南看花园 来电急售 有钥匙,3室2厅2卫,85㎡,东南,中层(共32层),2022年建造,颐安都会中央(三期),龙岗,大运,龙飞大道,"东南,满二年,近地铁,车位充足",313.0,36824元/㎡,85.0,313.0,36824.0,2022.0,3.0
横岗站旁，信义金御山新小区精装3房，大露台东向，采光通风好,3室2厅1卫,80.56㎡,南北,高层(共32层),2024年建造,信义金御山居,龙岗,横岗,广达路27号,"南北,满二年,近地铁,次新房",270.0,33516元/㎡,80.56,270.0,33516.0,2024.0,3.0
中海寰宇珑宸业主 了100 出价就卖精装修三房,3室2厅1卫,77.67㎡,南,低层(共43层),2023年建造,中海寰宇珑宸,龙岗,同乐,夏莲路,"南,满二年,近地铁,次新房",225.0,28969元/㎡,77.67,225.0,28969.0,2023.0,3.0
今日推荐3房 （业主包税）可按揭！带全屋家私！送车位！有钥匙,3室2厅2卫,92.15㎡,南,中层(共13层),2018年建造,红山6979,龙华,民治,民繁路,"南,满五年,近地铁,车位充足",320.0,34726元/㎡,92.15,320.0,34726.0,2018.0,3.0
业主出国不回来了急卖出售精装四房2卫，户型使用率高，,4室2厅2卫,128.15㎡,南北,中层(共32层),2015年建造,天峦湖,坪山,坪山,马峦南路8号,"南北,满五年,采光较好",388.0,30278元/㎡,128.15,388.0,30278.0,2015.0,4.0
2024年新房  看海景  无遮挡  价格可谈  随时看房,4室2厅2卫,146.05㎡,南,中层(共30层),2024年建造,尚悦府,福田,沙嘴,沙嘴中心街47号,"南,满二年,近地铁,次新房",1196.0,81890元/㎡,146.05,1196.0,81890.0,2024.0,4.0
金融街旁万科花园社区，精装4房，跑马大阳台，配套齐全,4室2厅2卫,148.29㎡,南,高层(共27层),2004年建造,缇香名苑,福田,景田南,香梅路,"南,满五年,近地铁,绿化率高",1060.0,71482元/㎡,148.29,1060.0,71482.0,2004.0,4.0
安静看花园，只有60户，有2个车位，欢迎咨询,4室2厅2卫,119.04㎡,南,低层(共30层),2003年建造,星河国际花园,福田,购物公园,福华三路289号,"南,满五年,近地铁,车位充足",1100.0,92406元/㎡,119.04,1100.0,92406.0,2003.0,4.0
实地看过8次以上，高楼层厅出阳台3房，视野开阔，业主急卖!!,3室2厅1卫,85.77㎡,西北,高层(共32层),2006年建造,星海名城(五期),南山,前海,前海路3101号,"西北,满五年,近地铁,绿化率高",528.0,61560元/㎡,85.77,528.0,61560.0,2006.0,3.0
前海花园新出两居室 有证    正南向 采光充足 无记录,3室2厅1卫,81.24㎡,西,中层(共17层),2004年建造,前海花园,南山,前海,桃园路288号,"西,满五年,近地铁,采光较好",380.0,46775元/㎡,81.24,380.0,46775.0,2004.0,3.0
京基御景中央(二期) 有电梯 商品住宅 小三房 满五,3室2厅2卫,94.91㎡,南,低层(共33层),2020年建造,京基御景中央(二期),龙岗,大运,飞扬路,"南,满五年,近地铁,车位充足",399.9,42135元/㎡,94.91,399.9,42135.0,2020.0,3.0
绝美户型，直接拎包入住，安静看花园,3室2厅1卫,87.81㎡,南北,中层(共18层),2002年建造,星海名城(二期),南山,前海,前海路3103号,"南北,满五年,近地铁,绿化率高",410.0,46692元/㎡,87.81,410.0,46692.0,2002.0,3.0
诺德小两房业主诚心出售,2室1厅1卫,50.28㎡,西南,高层(共29层),2008年建造,诺德假日花园,南山,前海,前海路0369号,"西南,满五年,近地铁,绿化率高",335.0,66627元/㎡,50.28,335.0,66627.0,2008.0,2.0
南北通透两房，前排无遮挡，随时看房,2室2厅1卫,60.47㎡,南北,高层(共8层),1995年建造,益田村,福田,益田村,益田路,"南北,近地铁",340.0,56227元/㎡,60.47,340.0,56227.0,1995.0,2.0
中航格澜阳光花园(二期) 朝南 商品住宅 近地铁 装修好,3室2厅1卫,86㎡,南,低层(共18层),2007年建造,中航格澜阳光花园(二期),龙华,观澜,大和路85号,"南,满五年,近地铁,车位充足",300.0,34884元/㎡,86.0,300.0,34884.0,2007.0,3.0
全新未住过，新房，靠山靠水，实用率超高，近罗湖,4室2厅3卫,195.72㎡,南北,中层(共40层),2019年建造,国香山翡翠华庭,布吉,丹竹头,丹沙路,"南北,满五年,采光较好",610.0,31167元/㎡,195.72,610.0,31167.0,2019.0,4.0
多栋公务员社区，，近医院，商业配套齐全，正规商品房，刚需3房,3室2厅1卫,76.98㎡,南北,低层(共7层),1995年建造,益田村,福田,益田村,益田路,"南北,满五年,近地铁",355.0,46116元/㎡,76.98,355.0,46116.0,1995.0,3.0
福外本部 临地铁 精装修 购物方便 满五 安静,3室2厅2卫,103.27㎡,南,中层(共29层),1999年建造,景龙大厦,福田,景田北,"景田北三街,近商报东三路","南,满五年,近地铁",498.0,48224元/㎡,103.27,498.0,48224.0,1999.0,3.0
华润城润玺(一期) 近医院 车位充足 中间楼层采光好,3室2厅1卫,98.85㎡,西南,中层(共62层),2022年建造,华润城润玺(一期),南山,大冲,沙河西路,"西南,满五年,近地铁,车位充足",1250.0,126455元/㎡,98.85,1250.0,126455.0,2022.0,3.0
荔园大厦大三房，精装修几十个,3室2厅1卫,86.09㎡,南,低层(共23层),1995年建造,荔园大厦,南山,南山中心区,桂庙路24号,"南,满五年,近地铁,多人关注",459.0,53317元/㎡,86.09,459.0,53317.0,1995.0,3.0
四百碗，地铁口三房，诚意出售,3室2厅2卫,96㎡,西南,高层(共32层),2022年建造,合正观澜汇(二期),龙华,龙华区政府,观澜大道115号,"西南,满五年,近地铁,次新房",395.0,41146元/㎡,96.0,395.0,41146.0,2022.0,3.0
香蜜三村 双卫 出行方便 满五 医疗配套成熟 刚需小三居,3室2厅2卫,99㎡,北,中层(共18层),1995年建造,香蜜三村,福田,景田南,景田南四街30号,"北,有电梯,近地铁,户型方正",380.0,38384元/㎡,99.0,380.0,38384.0,1995.0,3.0
7XX可出！   ，朝南中楼层，采光佳，近地铁，诚售,3室2厅1卫,90.64㎡,南,中层(共35层),2011年建造,侨香村,福田,香蜜湖,安托山九路1号,"南,有电梯,近地铁,户型方正",805.0,88813元/㎡,90.64,805.0,88813.0,2011.0,3.0
半山海景兰溪谷二期标准2房2厅1卫业主诚心卖看房方便有钥匙,2室2厅1卫,83.23㎡,南北,高层(共31层),2008年建造,半山海景兰溪谷(二期),南山,蛇口,沿山路6号,"南北,满五年,近地铁,绿化率高",700.0,84105元/㎡,83.23,700.0,84105.0,2008.0,2.0
新上，金地香蜜山，大三房，高层看公园，全新装修，出门地铁,3室2厅2卫,136.15㎡,南,高层(共33层),2004年建造,金地香蜜山,福田,香蜜湖,安托山九路2号,"南,满五年,近地铁,绿化率高",800.0,58759元/㎡,136.15,800.0,58759.0,2004.0,3.0
豪装修 地铁口 急卖！！！看房方便  南北通透 采光好,1室1厅1卫,42.4㎡,南,中层(共22层),2005年建造,尚书苑,福田,下梅林,梅林路110号,"南,满五年,近地铁,户型方正",236.0,55661元/㎡,42.4,236.0,55661.0,2005.0,1.0
263还能谈（东南采光，刚需快看）红岭北地铁口,3室2厅1卫,102㎡,南北,中层(共32层),1998年建造,红岗大厦,罗湖,泥岗,红岗路1003号,"南北,满五年,近地铁,车位充足",263.0,25785元/㎡,102.0,263.0,25785.0,1998.0,3.0
业主诚心卖，几十万的装修，价格都可以砍！ 看房方便提前联系,3室2厅2卫,99.64㎡,东北,中层(共9层),2000年建造,星海名城(一期),南山,前海,前海路3101号,"东北,满五年,近地铁,绿化率高",564.0,56604元/㎡,99.64,564.0,56604.0,2000.0,3.0
福田中心区23年次新小区，现在业主急出,3室2厅2卫,98.31㎡,南,高层(共48层),2023年建造,福安瑞府,福田,福田中心区,彩田路,"南,热门小区,近地铁,新上小区",838.0,85241元/㎡,98.31,838.0,85241.0,2023.0,3.0
负35买三房 远离喧嚣 楼下粤海公园旁 业主诚售 随时看房,3室2厅1卫,88.42㎡,南北,低层(共7层),1988年建造,金秀小区,罗湖,黄贝岭,秀南街97号,"南北,满五年,近地铁,采光较好",238.0,26917元/㎡,88.42,238.0,26917.0,1988.0,3.0
房源地处深南大道旁，毗邻香蜜湖地铁站出行，方便物业管理优良,3室2厅2卫,125.56㎡,东,中层(共31层),2003年建造,安柏丽晶,福田,景田南,深南大道6012号,"东,满二年,近地铁,绿化率高",820.0,65308元/㎡,125.56,820.0,65308.0,2003.0,3.0
福田一手新房，单价3万，总价130万，租金可租5000元,1室0厅1卫,40㎡,南,,2025年建造,深业上林苑(新房),福田,八卦岭,八卦岭八卦路30号,多轨交,188.0,47000元/㎡,40.0,188.0,47000.0,2025.0,1.0
地铁口 2站到福田 总价360万 来电有惊喜,3室2厅2卫,89㎡,南,,2026年建造,远洋天萃世纪,龙岗,坂田,地铁10号线光雅园站B出口,"厨卫全明,私密性好,客餐厅相连,多轨交",434.0,48765元/㎡,89.0,434.0,48765.0,2026.0,3.0
门户新规产品！来电立享88折！额外团购优惠！290买三房,3室2厅2卫,83㎡,南,,2027年建造,乐宸,龙岗,大运,龙岗大道与坳园路交汇处西北侧,"厨卫全明,私密性好,南北通透,多轨交",354.0,42651元/㎡,83.0,354.0,42651.0,2027.0,3.0
龙华壹方天地新盘！来电立享88折！还有额外30 团购,3室2厅2卫,96㎡,南,,2027年建造,幸福城|臻园,龙华,龙华中心区,建设路与人民路交汇处（壹方天地旁）,"南北通透,私密性好,主卧套房,多轨交",528.0,55000元/㎡,96.0,528.0,55000.0,2027.0,3.0
香山里 荀的一套，诚心出售，安静，看花园,3室2厅2卫,151.55㎡,南北,高层(共33层),2011年建造,波托菲诺香山里,南山,华侨城,侨北三街8号,"南北,满五年,近地铁,采光较好",1230.0,81162元/㎡,151.55,1230.0,81162.0,2011.0,3.0
南北通透名居山河里精装大四房 地铁口三百 安静舒适 来电看房,4室2厅2卫,142.06㎡,南北,低层(共48层),2023年建造,名居山河里(2期),龙岗,横岗,新园路,"南北,满二年,近地铁,次新房",302.0,21259元/㎡,142.06,302.0,21259.0,2023.0,4.0
南山 宝安 前海 正地铁口 叠加别墅 豪华装修 泰华阳光海,7室2厅2卫,170.04㎡,南北,共4层,2008年建造,泰华阳光海,宝安,碧海湾,悦和路6号,"南北,有电梯,近地铁,车位充足",1280.0,75277元/㎡,170.04,1280.0,75277.0,2008.0,7.0
荔园红岭小复式，全景落地窗三房，东向看荔枝公园，满五,3室2厅1卫,44.67㎡,东,高层(共22层),2005年建造,中泰燕南名庭,福田,华强北,燕南路88号,"经纪人力荐,东,热门小区,近地铁",300.0,67160元/㎡,44.67,300.0,67160.0,2005.0,3.0
港丽豪园 商圈成熟 出行方便 豪华精装 环境优美 西南朝向,5室2厅3卫,131.06㎡,西南,中层(共41层),2003年建造,港丽豪园,福田,福田中心区,海田路2号,"西南,满五年,近地铁,绿化率高",890.0,67908元/㎡,131.06,890.0,67908.0,2003.0,5.0
业主急急急 南向大两房 刚需上车   空出,2室2厅1卫,70.48㎡,南,低层(共9层),2001年建造,星海名城(一期),南山,前海,前海路3101号,"南,满五年,近地铁,绿化率高",385.0,54626元/㎡,70.48,385.0,54626.0,2001.0,2.0
处理资产发工资 绿景花园二期豪华装修，地铁口物业。,4室2厅2卫,116.45㎡,西南,高层(共33层),2005年建造,绿景花园(二期),福田,新洲,福强路3018号,"西南,满五年,近地铁",790.0,67841元/㎡,116.45,790.0,67841.0,2005.0,4.0
万科公园里全套家私打包一起卖 高楼层 南向,3室2厅2卫,89㎡,南,高层(共44层),2017年建造,万科公园里,布吉,南岭,樟富北路8号,"南,满二年,户型方正",300.0,33708元/㎡,89.0,300.0,33708.0,2017.0,3.0
金地梅陇镇花园一期 南北 普装 3室 2厅 107.95m,3室2厅2卫,107.95㎡,南,中层(共24层),2006年建造,金地梅陇镇(一二三期),龙华,民治,民安路136号,"南,满五年,近地铁,绿化率高",488.0,45207元/㎡,107.95,488.0,45207.0,2006.0,3.0
房龄新 商品房 商业配套齐全 朝南 近医院 电梯房 居家自住,3室2厅2卫,140.76㎡,南,低层(共37层),2018年建造,深圳中心天元,福田,福田中心区,深南大道2005号,"南,唯一住房,近地铁,车位充足",945.0,67136元/㎡,140.76,945.0,67136.0,2018.0,3.0
虧350 ！现3 XX万  ！低上套成交60万！现精装自住！,4室2厅2卫,96.63㎡,南,中层(共19层),2002年建造,丽景城,宝安,西乡,前进二路100号,"南,热门小区,近地铁,房东急售",425.0,43983元/㎡,96.63,425.0,43983.0,2002.0,4.0
急急急，户型方正，可做四房，南北通透，业主诚心 红本满五年,3室2厅2卫,108.25㎡,南北,低层(共7层),1997年建造,松泉山庄,罗湖,水贝,太白路4012号,"南北,满五年,近地铁,绿化率高",330.0,30485元/㎡,108.25,330.0,30485.0,1997.0,3.0
换房急出，海景花园新装修大三房高楼层南向看海景,3室2厅2卫,113.19㎡,东南,高层(共33层),1992年建造,海景花园(南山),南山,华侨城,光侨街8号,"东南,满五年,近地铁,采光较好",630.0,55659元/㎡,113.19,630.0,55659.0,1992.0,3.0
华侨城大花园社区，电梯房，看人工湖和世界之窗，价格可谈,3室2厅2卫,123㎡,南北,中层(共33层),1993年建造,东方花园,南山,华侨城,深南大道9017号,"南北,近地铁,绿化率高",640.0,52033元/㎡,123.0,640.0,52033.0,1993.0,3.0
云玺次新小区，楼下地铁口，商业，全新设计和装修，业主诚心卖,3室2厅2卫,117.77㎡,南,低层(共33层),2019年建造,云玺锦庭,宝安,宝安中心区,甲岸路6-55号,"南,热门小区,近地铁,价格优惠",1268.0,107668元/㎡,117.77,1268.0,107668.0,2019.0,3.0
出行方便 精装修 双卫格局 商圈成熟 满五   南北通透,3室2厅2卫,121.19㎡,南,高层(共30层),2009年建造,溪山美地园,龙华,梅林关口,梅坂大道236号,"南,满五年,近地铁",738.0,60897元/㎡,121.19,738.0,60897.0,2009.0,3.0
深圳北站新规住宅96-173平精装3-5房零公摊品质精装现楼,3室2厅2卫,82㎡,南,,2026年建造,中洲迎玺,龙华,深圳北站,龙华大道与民丰路交汇处,"多轨交,高绿化率",594.0,72440元/㎡,82.0,594.0,72440.0,2026.0,3.0
金地环湾城福田大社区新房，改善型，高品质 深圳湾边 红岭直属,2室2厅1卫,78㎡,东南,,2026年建造,金地环湾城,福田,沙嘴,福强路与沙嘴路交汇处（地铁7号线上沙站约235米）,"卧室全朝南,厨卫全明,户型方正,轨交房",890.0,114103元/㎡,78.0,890.0,114103.0,2026.0,2.0
88平赠送6平  花园 豪华装修三房两卫 诚意出售,3室2厅2卫,86.95㎡,南,中层(共41层),2015年建造,恒大国香山,布吉,沙湾,沙平北路92号,"南,满五年,车位充足",285.0,32778元/㎡,86.95,285.0,32778.0,2015.0,3.0
苏豪名厦 医疗配套成熟 满五   购物方便 楼层好 带电梯,2室2厅1卫,65.62㎡,南,中层(共29层),2000年建造,苏豪名厦,南山,南头,南新路2098号,"南,满二年,近地铁,采光较好",245.0,37337元/㎡,65.62,245.0,37337.0,2000.0,2.0
（  推荐）1月新价162 等同新房 高楼层70年产权通燃气,1室1厅1卫,44.39㎡,西,高层(共58层),2022年建造,京基水贝时代广场(商住楼),罗湖,水贝,水贝一路,"经纪人力荐,西,热门小区,配套成熟",162.0,36495元/㎡,44.39,162.0,36495.0,2022.0,1.0
新上房源！业主急出可谈！枢纽站地铁口大三房南北通透安静看花园,3室2厅2卫,88.96㎡,南,低层(共29层),2019年建造,颐安都会中央(三期),龙岗,大运,龙飞大道,"南,满五年,近地铁,车位充足",324.0,36421元/㎡,88.96,324.0,36421.0,2019.0,3.0
桃源村二期，南北通三房出售，价格实惠。,3室2厅1卫,92.88㎡,北,高层(共20层),1999年建造,桃源村(二期),南山,桃源村,龙珠大道90号,"北,满五年,近地铁,采光较好",438.0,47158元/㎡,92.88,438.0,47158.0,1999.0,3.0
510购加福华尔登3房户型，福田口岸次新精装，仅契税,2室2厅1卫,85㎡,南,,2023年建造,加福华尔登府邸(新房),福田,新洲,福强路与国花路交汇处（4/10号线福田口岸站）,多轨交,725.0,85295元/㎡,85.0,725.0,85295.0,2023.0,2.0
业主急置换！南山新出笋盘，2字头全包过户，先到先得！,3室2厅2卫,96㎡,南北,高层(共32层),2000年建造,岚峰,南山,西丽,龙苑路3号,"南北,满二年,近地铁,车位充足",264.0,27500元/㎡,96.0,264.0,27500.0,2000.0,3.0
0公推可做三室 近地铁 安静  税费少,3室2厅1卫,82㎡,南北,高层(共7层),1989年建造,新秀村(南区),罗湖,黄贝岭,新秀路41号,"南北,唯一住房,近地铁,户型方正",236.0,28781元/㎡,82.0,236.0,28781.0,1989.0,3.0
诚心卖！33X！福外南中小护航，小高层南向两房！近福保站！,2室2厅1卫,72.23㎡,南,中层(共18层),2000年建造,朗庭豪园,福田,保税区,桂花路7号,"南,满五年,近地铁,采光较好",360.0,49841元/㎡,72.23,360.0,49841.0,2000.0,2.0
绿景虹湾 双卫 停车方便 高楼层视野无遮挡 小区新 装修好,3室2厅2卫,85.59㎡,南北,高层(共44层),2017年建造,绿景虹湾,福田,下梅林,北环大道6098号,"南北,满五年,近地铁,车位充足",644.0,75243元/㎡,85.59,644.0,75243.0,2017.0,3.0
悦城(内部290)赠送20 价格可谈 包税过户,4室2厅2卫,98.51㎡,北,中层(共32层),2018年建造,拾悦城,宝安,沙井,宝安大道8181号,"北,满五年,近地铁,车位充足",340.0,34515元/㎡,98.51,340.0,34515.0,2018.0,4.0
中海寰宇新出精装三房交付标准未入住过看房方便,3室2厅2卫,89.64㎡,南北,低层(共36层),2020年建造,中海寰宇时代,光明,光明,明政路,"南北,满五年,近地铁",395.0,44066元/㎡,89.64,395.0,44066.0,2020.0,3.0
福田CBD 次新 带电梯 出行方便 临地铁 满五  精装好房,4室2厅2卫,128㎡,南北,低层(共32层),2023年建造,佳兆业佳园,福田,福田中心区,中心二路1号,"南北,满五年,近地铁,次新房",958.0,74844元/㎡,128.0,958.0,74844.0,2023.0,4.0
红山89平实用   ，  住家4房,4室2厅2卫,86.36㎡,西南,低层(共38层),2016年建造,星河传奇,龙华,民治,民塘路,"西南,热门小区,近地铁,配套成熟",720.0,83372元/㎡,86.36,720.0,83372.0,2016.0,4.0
新上！壹成三区 中间好楼层 地铁口 装修好 南向采光好,3室2厅1卫,78.13㎡,南,中层(共45层),2017年建造,壹成中心第九区,龙华,龙华中心区,景龙建设路,"南,有电梯,近地铁,采光较好",398.0,50941元/㎡,78.13,398.0,50941.0,2017.0,3.0
后海海月花园一期中间楼层户型方正近地铁看房安静看花园业主急售,3室2厅2卫,96㎡,南北,中层(共7层),2002年建造,招商海月花园(一期),南山,后海,海月路43号,"南北,满五年,近地铁",818.0,85209元/㎡,96.0,818.0,85209.0,2002.0,3.0
急！急！急！次新房，装修好，交通便利 临地铁 商品房,2室2厅1卫,70㎡,南北,低层(共62层),2023年建造,京基天韵府,罗湖,布心,东晓路3028号,"南北,满五年,近地铁,次新房",260.0,37143元/㎡,70.0,260.0,37143.0,2023.0,2.0
自己家里的房子看房，找我看房方便。,3室2厅1卫,86.55㎡,南北,低层(共54层),2022年建造,京基水贝时代广场,罗湖,水贝,水贝一路,"南北,热门小区,新上小区,随时可看",628.0,72560元/㎡,86.55,628.0,72560.0,2022.0,3.0
5XX地铁口大三房，软椅上歇一歇，生活本该这般爽,3室2厅1卫,75.53㎡,南,低层(共18层),2006年建造,圣淘沙骏园,宝安,西乡,西乡大道286号,"南,满五年,近地铁",530.0,70171元/㎡,75.53,530.0,70171.0,2006.0,3.0
丽景城大三房，看小区花园，南向采光好，实用率高！,3室2厅2卫,96.81㎡,南,高层(共7层),2002年建造,丽景城,宝安,西乡,前进二路100号,"南,满五年,近地铁,绿化率高",425.0,43901元/㎡,96.81,425.0,43901.0,2002.0,3.0
次新小区 复式3房3卫 南北通 车位充足,3室2厅3卫,119.68㎡,南北,中层(共28层),2018年建造,御景台雅园,盐田,盐田,中青路19号,"南北,满五年,近地铁",335.0,27992元/㎡,119.68,335.0,27992.0,2018.0,3.0
万科城(别墅) 近医院 近地铁 密度低 停车方便 中间楼层,4室2厅3卫,157㎡,南,共1层,2007年建造,万科城(别墅),龙岗,万科城,坂雪岗大道,"南,满五年,近地铁,车位充足",880.0,56051元/㎡,157.0,880.0,56051.0,2007.0,4.0
的存在，代号468地铁口社区，楼下天虹商圈业主无条件配合,3室2厅2卫,87.64㎡,西南,中层(共28层),2012年建造,合正汇一城,宝安,西乡,"新湖路,近悦和路","西南,热门小区,近地铁,价格优惠",515.0,58764元/㎡,87.64,515.0,58764.0,2012.0,3.0
远洋新天地横厅大四房带精装 南北通透配套成熟 看房方便价可谈,4室2厅2卫,124.08㎡,南北,低层(共19层),2019年建造,远洋新天地(二期),龙岗,龙岗中心城,盛龙路42号,"南北,满五年,近地铁,车位充足",335.0,26999元/㎡,124.08,335.0,26999.0,2019.0,4.0
5字头还享国补折上折！31房2卫！低密小高层！7号地铁物业,3室2厅2卫,88.63㎡,南北,中层(共11层),2004年建造,郁金香家园,南山,西丽,龙珠六路32号,"南北,近地铁",568.0,64087元/㎡,88.63,568.0,64087.0,2004.0,3.0
福田 电梯房 高绿化 临地铁 南北通透 精装可拎包入住,3室2厅1卫,83.8㎡,南北,中层(共33层),2004年建造,城中雅苑,福田,福田中心区,民田路61号,"南北,满五年,近地铁,绿化率高",750.0,89499元/㎡,83.8,750.0,89499.0,2004.0,3.0
房源多多 龙光玖龙台 南北通透 双卫格局 次新小区 临地铁,5室2厅2卫,142.42㎡,南北,高层(共43层),2019年建造,龙光玖龙台,光明,光明,观光路,"南北,满二年,近地铁",960.0,67407元/㎡,142.42,960.0,67407.0,2019.0,5.0
