标题,户型,面积,朝向,楼层,建造年份,小区名称,区域,商圈,地址,标签,总价(万),单价(元/㎡)
凯旋城朝南奢阔大三房，看房随时方便,3室2厅2卫,106.97㎡,南,中层(共31层),2006年建造,金泓凯旋城,宝安,宝安中心区,新安一路20号,"南,热门小区,配套成熟,价格优惠",780,72918元/㎡
乐城二期精装四房南北通透双阳台格局一线公园山景视野开阔无遮挡,4室2厅2卫,143㎡,南北,中层(共32层),2023年建造,乐城(二期),龙岗,大运,联信路2号,"南北,近地铁,次新房,多人关注",375,26224元/㎡
临地铁 产权清晰 精装修 西南朝向 有电梯 商业配套成熟,2室2厅1卫,70.23㎡,西南,低层(共34层),2023年建造,万科启城家园,龙华,龙华区政府,碧澜路,"西南,满五年,近地铁,次新房",225,32038元/㎡
石厦花园诚心出售，朝南采光佳，厅出阳台，带地面花园，,3室2厅1卫,85.79㎡,东南,低层(共44层),2018年建造,新天石厦花园,福田,石厦,石厦二街,"东南,唯一住房,近地铁,车位充足",650,75767元/㎡
电梯多层三房 大花园社区出门前海山姆 地铁,3室2厅1卫,89.87㎡,南北,高层(共7层),1999年建造,前海花园,南山,前海,桃园路288号,"南北,满五年,近地铁,户型方正",425,47291元/㎡
沙头角次新房，鹏瑞尚府精装3房双阳台,3室2厅2卫,117.61㎡,南北,低层(共46层),2024年建造,鹏瑞尚府,盐田,沙头角,田心东路,"南北,有电梯,近地铁,次新房",538,45745元/㎡
已出证！急急急！业主急售！御龙天地大三房 近地铁 看房方便,3室2厅2卫,108㎡,南,中层(共55层),2025年建造,御龙天地,罗湖,翠竹,华丽路,"南,热门小区,配套成熟,房东急售",599,55463元/㎡
东南朝向三室两厅，公园环绕，地铁便捷，舒适生活尽在此处。,3室2厅2卫,116.59㎡,东南,中层(共32层),2000年建造,怡园大厦,南山,南山中心区,学府路101号,"东南,满五年,近地铁,采光较好",460,39455元/㎡
精装好房 临地铁 购物方便 东南朝向 刚需小三居 带电梯,3室2厅1卫,78.46㎡,东南,低层(共32层),2013年建造,万科公园里,布吉,南岭,樟富北路8号,"东南,满五年,户型方正",245,31227元/㎡
沙井 满五 双卫格局 小三房 精装可拎包入住 小区新 电梯房,3室2厅2卫,88.99㎡,南,低层(共33层),2015年建造,博林君瑞,宝安,沙井,"中心路,近上星南路","南,满五年,近地铁,户型方正",336.8,37847元/㎡
福田带私家院子的房子，还带固定车位！,3室2厅1卫,98.59㎡,南北,低层(共8层),1984年建造,滨江新村,福田,上步,东园路77号,"南北,满五年,近地铁,采光较好",438,44427元/㎡
所有户型双阳台三阳台。,4室2厅2卫,113.21㎡,南,高层(共26层),2008年建造,泰华阳光海,宝安,碧海湾,悦和路6号,"南,有电梯,近地铁,车位充足",820,72432元/㎡
硬核好房 地段配套双   花少钱享主城全配套,3室1厅0卫,84.71㎡,东南,低层(共32层),1991年建造,海富花园,罗湖,黄贝岭,深南东路1017号,"东南,价格优惠,房东急售,随时可看",265,31284元/㎡
南山意境 交通便捷 商品住宅 双卫 医疗配套成熟 豪华精装,3室2厅2卫,77.1㎡,南北,低层(共32层),2012年建造,南山意境,南山,南头,南青路18号,"南北,满五年,近地铁,多人关注",250,32426元/㎡
星河天地四期精装四房诚售,4室2厅2卫,113㎡,西北,高层(共45层),2024年建造,星河天地(四期),光明,光明,"东周一街,近东周三街","西北,唯一住房,近地铁,次新房",495,43806元/㎡
鸿荣源物业，准电梯精装修大三房，急卖，看房方便 欢迎私聊,3室2厅1卫,89.58㎡,西南,高层(共8层),1988年建造,弘雅花园(二期),宝安,新安,上川路32号,"西南,近地铁,采光较好",399,44542元/㎡
海景豪宅  南北通透  复试大四房精装修  蓝郡西堤,4室2厅3卫,141.98㎡,东南,中层(共38层),2014年建造,蓝郡西堤,盐田,沙头角,金融路,"东南,有电梯,近地铁,车位充足",900,63390元/㎡
佳兆业城市广场三房，     ，厅出阳台，光线充足,3室2厅1卫,89.46㎡,南,中层(共47层),2013年建造,佳兆业城市广场(一期),龙岗,坂田,坂雪岗大道1166号,"南,满五年,近地铁,车位充足",375,41919元/㎡
仁恒公园世纪(一期) 交通便捷 装修好 商品房 近医院,3室2厅1卫,82.64㎡,南北,中层(共30层),2020年建造,仁恒公园世纪(一期),龙岗,爱联,龙岗大道,"新上小区,南北通透,公摊小",368,44531元/㎡
龙华区政府 南向采光好 得房率高 次新小区 带电梯,3室2厅1卫,79㎡,南,中层(共31层),2024年建造,招商雍云府,龙华,龙华区政府,福花路,"南,有电梯,次新房,采光较好",270,34178元/㎡
信义御城豪园，高楼层带地面花园，人车分流，业主诚心出售。,3室2厅2卫,89.13㎡,东南,高层(共32层),2013年建造,信义御城(一期),龙岗,横岗,"松茂路,近松柏路","东南,满五年,近地铁,采光较好",228,25581元/㎡
万科启城家园 出行方便 朝南 临地铁 带电梯 次新房 小三居,3室2厅2卫,104㎡,南,低层(共34层),2023年建造,万科启城家园,龙华,龙华区政府,碧澜路,"南,满二年,近地铁,次新房",335,32212元/㎡
地铁口 2站到福田 总价360万 来电有惊喜,3室2厅2卫,89㎡,南,,2026年建造,远洋天萃世纪,龙岗,坂田,地铁10号线光雅园站B出口,"厨卫全明,私密性好,客餐厅相连,多轨交",434,48765元/㎡
600万三房新房精装现楼 深业颐樾府 龙华实验  旁 地铁口,3室2厅1卫,99㎡,南,,2025年建造,深业颐樾府(新房),龙华,莱蒙水榭春天,民塘路与上塘路交汇处（龙华区实验学校旁）,"主卧套房,厨卫全明,卧室全朝南,多轨交",714,72122元/㎡
珺奕府5栋  单位，360万买3房来电立享20万团购优惠,3室2厅2卫,83㎡,南,,2026年建造,卓越·珺奕府,龙华,龙华中心区,布龙路与和平路交汇处西北侧,"南北通透,厨卫全明,主卧套房,多轨交",423,50964元/㎡
门户新规产品！来电立享88折！额外团购优惠！290买三房,3室2厅2卫,83㎡,南,,2027年建造,乐宸,龙岗,大运,龙岗大道与坳园路交汇处西北侧,"厨卫全明,私密性好,南北通透,多轨交",354,42651元/㎡
祥云花园~正规3室2厅~楼层好~户型方正~房龄新,3室2厅2卫,79㎡,南北,高层(共17层),2008年建造,祥云花园,南山,南头,中祥路10号,"南北,满五年,近地铁,多人关注",150,18988元/㎡
厅出阳台朝南的三房，位置安静,3室2厅2卫,98.83㎡,西南,低层(共6层),2002年建造,阳光棕榈园,南山,前海,前海路2057号,"西南,满五年,近地铁,多人关注",618,62532元/㎡
业主诚售 宏发世纪城(二期) 车位充足 有电梯 房龄新,3室2厅2卫,88.09㎡,南北,高层(共30层),2017年建造,宏发世纪城(二期),宝安,石岩,宝石东路,"南北,满五年,近地铁,车位充足",352,39960元/㎡
前海花园 交通便捷 双卫格局 精装修 产权清晰 高楼层视野好,3室2厅2卫,90.94㎡,北,高层(共7层),1999年建造,前海花园,南山,前海,桃园路288号,"北,热门小区,房东急售,随时可看",530,58281元/㎡
香山里 荀的一套，诚心出售，安静，看花园,3室2厅2卫,151.55㎡,南北,高层(共33层),2011年建造,波托菲诺香山里,南山,华侨城,侨北三街8号,"南北,满五年,近地铁,采光较好",1230,81162元/㎡
地铁4号线长湖站万科启城精装3房诚心出售,3室2厅1卫,81㎡,西南,中层(共48层),2020年建造,万科启城家园,龙华,龙华区政府,碧澜路,"西南,房东认证,满二年,近地铁",295,36420元/㎡
南北通透名居山河里精装大四房 地铁口三百 安静舒适 来电看房,4室2厅2卫,142.06㎡,南北,低层(共48层),2023年建造,名居山河里(2期),龙岗,横岗,新园路,"南北,满二年,近地铁,次新房",302,21259元/㎡
勤诚达365急售可谈可分期包税过户！送车位13号线地铁南向,4室2厅2卫,143.49㎡,南,中层(共48层),2020年建造,勤诚达正大城悦园,光明,光明,光侨路,"南,满五年",435,30316元/㎡
福田必看笋盘（120万卖，房产证在手）红本过户，包按揭,3室2厅2卫,88㎡,南,低层(共15层),2017年建造,金梅花园,福田,下梅林,梅林路159号,"南,满五年,近地铁",188,21364元/㎡
南向采光好 交通便捷 电梯房 环境好 小三房 商品住宅,3室2厅1卫,94.77㎡,南,低层(共15层),2004年建造,万裕椰风海岸家园,南山,前海,桃李路33号,"南,优势户型",555,58563元/㎡
得房率高 带电梯 小区新 朝南 商品房 近医院,4室2厅2卫,89.01㎡,南,低层(共33层),2017年建造,恒裕嘉城,龙岗,龙岗中心城,龙升路36号,"南,满二年,近地铁",250,28087元/㎡
信义御城 精装四房 来电看房 楼下天虹商场 地铁口 价可谈,4室2厅2卫,113.81㎡,南北,中层(共32层),2020年建造,信义御城(一期),龙岗,横岗,"松茂路,近松柏路","南北,满五年,近地铁,户型方正",248,21791元/㎡
"两百九可以谈,西荟城，地铁口附近，业主诚心出售，看房方便",3室2厅2卫,89.99㎡,东南,低层(共32层),2015年建造,西荟城三期,宝安,沙井,"新沙路,近教育北路","东南,满五年,近地铁",310,34449元/㎡
仁恒公园世纪(一期) 交通便捷 装修好 商品房 近医院,3室2厅1卫,82.64㎡,南北,中层(共30层),2020年建造,仁恒公园世纪(一期),龙岗,爱联,龙岗大道,"南北,满五年,近地铁,车位充足",368,44531元/㎡
粤海城带100平院子 七房四卫 南向采光好 小郑有密码看房,7室3厅4卫,96㎡,南,低层(共47层),2020年建造,粤海城,罗湖,布心,东昌路3008号,"南,满二年,近地铁,车位充足",690,71875元/㎡
园岭加红岭双本部，业主置换诚心出售，看房方便价格好谈！,3室2厅1卫,84.33㎡,南,中层(共8层),1983年建造,园岭新村,福田,园岭,笋岗西路2057号,"南,热门小区,优势户型,房东急售",498,59054元/㎡
大 运中心颐安都会中央四期！全新装三房双卫中楼层向阳来电看房,3室2厅2卫,88.57㎡,东南,低层(共31层),2022年建造,颐安都会中央(四期),龙岗,大运,红棉路,"东南,满五年,近地铁,次新房",305,34437元/㎡
颐安都会中央 业主调价60出！！豪华装修 东南朝向 来电看房,4室2厅2卫,107.93㎡,东南,低层(共31层),2020年建造,颐安都会中央(四期),龙岗,大运,红棉路,"东南,满五年,近地铁,户型方正",364,33726元/㎡
调价41 急售，南联地铁口50 ，大四房！摩尔城朝南空中花园,4室2厅2卫,142.56㎡,东南,低层(共31层),2020年建造,鹏达摩尔城,龙岗,龙岗中心城,龙岗大道6002号,"东南,满五年,近地铁,车位充足",280,19641元/㎡
大社区配套完善龙园大观三房,3室2厅2卫,89㎡,西南,低层(共43层),2018年建造,朗泓龙园大观(一期),龙岗,龙岗中心城,福宁路189号,"西南,有电梯,近地铁,车位充足",235,26405元/㎡
横岗站旁，信义金御山新小区精装3房，大露台东向，采光通风好,3室2厅1卫,80.56㎡,南北,高层(共32层),2024年建造,信义金御山居,龙岗,横岗,广达路27号,"南北,满二年,近地铁,次新房",270,33516元/㎡
总层11楼小高层住宅公园环绕，地铁便捷多所  环绕居家,3室2厅2卫,94.21㎡,南,低层(共11层),2021年建造,深铁瑞城,光明,光明,光侨路,"南,热门小区,近地铁,优势户型",448,47554元/㎡
豪华装修  坪山大学城  高楼层河景184平大平层四房,4室2厅2卫,184.39㎡,南北,高层(共33层),2013年建造,竹韵花园,坪山,坪山,竹坳路3号,"南北,房东发布,满五年,近地铁",313,16975元/㎡
今日推荐3房 （业主包税）可按揭！带全屋家私！送车位！有钥匙,3室2厅2卫,92.15㎡,南,中层(共13层),2018年建造,红山6979,龙华,民治,民繁路,"南,满五年,近地铁,车位充足",320,34726元/㎡
港丽豪园诚心出售，方正户型，通风采光佳，带地面花园与,3室2厅2卫,105.43㎡,南,低层(共41层),2003年建造,港丽豪园,福田,福田中心区,海田路2号,"南,满五年,近地铁,绿化率高",688,65257元/㎡
业主出国不回来了急卖出售精装四房2卫，户型使用率高，,4室2厅2卫,128.15㎡,南北,中层(共32层),2015年建造,天峦湖,坪山,坪山,马峦南路8号,"南北,满五年,采光较好",388,30278元/㎡
业主诚心出售，看房方便,2室2厅2卫,95.68㎡,西北,中层(共48层),2009年建造,幸福里,罗湖,蔡屋围,宝安南路1661号,"西北,满五年,近地铁,车位充足",720,75251元/㎡
福田带私家院子的房子，还带固定车位！,3室2厅1卫,98.59㎡,南北,低层(共8层),1984年建造,滨江新村,福田,上步,东园路77号,"南北,热门小区,房东急售,随时可看",438,44427元/㎡
安静看花园，只有60户，有2个车位，欢迎咨询,4室2厅2卫,119.04㎡,南,低层(共30层),2003年建造,星河国际花园,福田,购物公园,福华三路289号,"南,满五年,近地铁,车位充足",1100,92406元/㎡
处理资产发工资 绿景花园二期豪华装修，地铁口物业。,4室2厅2卫,116.45㎡,西南,高层(共33层),2005年建造,绿景花园(二期),福田,新洲,福强路3018号,"西南,满五年,近地铁",790,67841元/㎡
环境优美 临地铁 满五   医疗配套成熟 正规商品房 双卫,4室2厅2卫,97.44㎡,南,低层(共19层),2002年建造,丽景城,宝安,西乡,前进二路100号,"南,满五年,近地铁,绿化率高",439,45054元/㎡
星河天地！275万急售！附赠20平，可分期包税过户，送车位！,3室2厅2卫,89.57㎡,南,高层(共49层),2020年建造,星河天地(一三期),光明,光明,光明大道511号,"南,满五年,近地铁",340,37960元/㎡
急！急！急！地铁口业主诚心卖采光好,3室2厅2卫,111.46㎡,南,低层(共30层),2003年建造,俊景豪园,福田,景田北,香梅路2002号,"南,满五年,近地铁,采光较好",615,55177元/㎡
产证已出 双卫格局 医疗配套成熟 精装修 南北通透,3室2厅2卫,115㎡,南北,高层(共56层),2024年建造,御龙天地,罗湖,翠竹,华丽路,"南北,热门小区,房东急售,随时可看",720,62609元/㎡
南山地铁口3XX三房 急卖 看房方便,3室2厅1卫,84.36㎡,东,中层(共23层),2000年建造,荔园大厦,南山,南山中心区,桂庙路24号,"东,满五年,近地铁,采光较好",338,40067元/㎡
观澜 小三房 停车方便 正规商品房 中间好楼层 朝南,3室2厅2卫,82.78㎡,南,高层(共32层),2018年建造,珑门,龙华,观澜,新丹路88号,"南,满二年,车位充足,户型方正",265,32013元/㎡
诺德小两房业主诚心出售,2室1厅1卫,50.28㎡,西南,高层(共29层),2008年建造,诺德假日花园,南山,前海,前海路0369号,"西南,满五年,近地铁,绿化率高",335,66627元/㎡
南北通透两房，前排无遮挡，随时看房,2室2厅1卫,60.47㎡,南北,高层(共8层),1995年建造,益田村,福田,益田村,益田路,"南北,近地铁",340,56227元/㎡
福外本部 临地铁 精装修 购物方便 满五 安静,3室2厅2卫,103.27㎡,南,中层(共29层),1999年建造,景龙大厦,福田,景田北,"景田北三街,近商报东三路","南,满五年,近地铁",498,48224元/㎡
上屋地铁口（内部价168全抛，红本过户）银行按揭，送新家私电,3室2厅1卫,75.9㎡,南,高层(共45层),2020年建造,嘉信云峰公馆,宝安,石岩,横坑工业大道2号,"南,近地铁,价格优惠,房东急售",276,36364元/㎡
华侨城大花园社区，电梯房，看人工湖和世界之窗，价格可谈,3室2厅2卫,123㎡,南北,中层(共33层),1993年建造,东方花园,南山,华侨城,深南大道9017号,"南北,近地铁,绿化率高",640,52033元/㎡
华润城润玺(一期) 近医院 车位充足 中间楼层采光好,3室2厅1卫,98.85㎡,西南,中层(共62层),2022年建造,华润城润玺(一期),南山,大冲,沙河西路,"西南,满五年,近地铁,车位充足",1250,126455元/㎡
香蜜三村 双卫 出行方便 满五 医疗配套成熟 刚需小三居,3室2厅2卫,99㎡,北,中层(共18层),1995年建造,香蜜三村,福田,景田南,景田南四街30号,"北,有电梯,近地铁,户型方正",380,38384元/㎡
7XX可出！   ，朝南中楼层，采光佳，近地铁，诚售,3室2厅1卫,90.64㎡,南,中层(共35层),2011年建造,侨香村,福田,香蜜湖,安托山九路1号,"南,有电梯,近地铁,户型方正",805,88813元/㎡
半山海景兰溪谷二期标准2房2厅1卫业主诚心卖看房方便有钥匙,2室2厅1卫,83.23㎡,南北,高层(共31层),2008年建造,半山海景兰溪谷(二期),南山,蛇口,沿山路6号,"南北,满五年,近地铁,绿化率高",700,84105元/㎡
佳兆业城市广场三房，     ，厅出阳台，光线充足,3室2厅1卫,89.46㎡,南,中层(共47层),2013年建造,佳兆业城市广场(一期),龙岗,坂田,坂雪岗大道1166号,"南,热门小区,优势户型,价格优惠",375,41919元/㎡
出行方便 精装修 双卫格局 商圈成熟 满五   南北通透,3室2厅2卫,121.19㎡,南,高层(共30层),2009年建造,溪山美地园,龙华,梅林关口,梅坂大道236号,"南,满五年,近地铁",738,60897元/㎡
深圳北站新规住宅96-173平精装3-5房零公摊品质精装现楼,3室2厅2卫,82㎡,南,,2026年建造,中洲迎玺,龙华,深圳北站,龙华大道与民丰路交汇处,"多轨交,高绿化率",594,72440元/㎡
业主诚心卖，几十万的装修，价格都可以砍！ 看房方便提前联系,3室2厅2卫,99.64㎡,东北,中层(共9层),2000年建造,星海名城(一期),南山,前海,前海路3101号,"东北,满五年,近地铁,绿化率高",564,56604元/㎡
金地环湾城福田大社区新房，改善型，高品质 深圳湾边 红岭直属,2室2厅1卫,78㎡,东南,,2026年建造,金地环湾城,福田,沙嘴,福强路与沙嘴路交汇处（地铁7号线上沙站约235米）,"卧室全朝南,厨卫全明,户型方正,轨交房",890,114103元/㎡
林海山庄南向大2房，居家舒适看山景，超高配套,2室2厅1卫,77.28㎡,南,高层(共14层),2001年建造,林海山庄,福田,下梅林,北环大道7020号,"南,满五年,近地铁,绿化率高",400,51760元/㎡
业主急售信义金御山居精装修三房两卫南北通透可拎包入住欢迎咨询,3室2厅2卫,84㎡,南北,高层(共32层),2020年建造,信义金御山居,龙岗,横岗,广达路27号,"热门小区,南北通透,满五",244,29048元/㎡
豪装修 地铁口 急卖！！！看房方便  南北通透 采光好,1室1厅1卫,42.4㎡,南,中层(共22层),2005年建造,尚书苑,福田,下梅林,梅林路110号,"南,满五年,近地铁,户型方正",236,55661元/㎡
新上房源！业主急出可谈！枢纽站地铁口大三房南北通透安静看花园,3室2厅2卫,88.96㎡,南,低层(共29层),2019年建造,颐安都会中央(三期),龙岗,大运,龙飞大道,"南,满五年,近地铁,车位充足",324,36421元/㎡
0公推可做三室 近地铁 安静  税费少,3室2厅1卫,82㎡,南北,高层(共7层),1989年建造,新秀村(南区),罗湖,黄贝岭,新秀路41号,"南北,唯一住房,近地铁,户型方正",236,28781元/㎡
万达广场楼上，福城新纪元，精装3房2卫，中间楼层，随时看房,3室2厅2卫,86㎡,西北,中层(共29层),2018年建造,福城前海新纪元,宝安,新安,宝民一路,"西北,唯一住房,近地铁,户型方正",250,29070元/㎡
绿景虹湾 双卫 停车方便 高楼层视野无遮挡 小区新 装修好,3室2厅2卫,85.59㎡,南北,高层(共44层),2017年建造,绿景虹湾,福田,下梅林,北环大道6098号,"南北,满五年,近地铁,车位充足",644,75243元/㎡
蔚蓝铂樾府 正规商品房 小三房 交通便利 次新小区,3室2厅1卫,85.98㎡,西南,中层(共30层),2023年建造,卓越蔚蓝铂樾府,大鹏新区,葵涌,金葵东路,"西南,热门小区,近地铁,配套成熟",179,20819元/㎡
负35买三房 远离喧嚣 楼下粤海公园旁 业主诚售 随时看房,3室2厅1卫,88.42㎡,南北,低层(共7层),1988年建造,金秀小区,罗湖,黄贝岭,秀南街97号,"南北,满五年,近地铁,采光较好",238,26917元/㎡
房源地处深南大道旁，毗邻香蜜湖地铁站出行，方便物业管理优良,3室2厅2卫,125.56㎡,东,中层(共31层),2003年建造,安柏丽晶,福田,景田南,深南大道6012号,"东,满二年,近地铁,绿化率高",820,65308元/㎡
业主急置换！南山新出笋盘，2字头全包过户，先到先得！,3室2厅2卫,96㎡,南北,高层(共32层),2000年建造,岚峰,南山,西丽,龙苑路3号,"南北,满二年,近地铁,车位充足",264,27500元/㎡
"17年次新小区业主急售21X,感兴趣直接电话约看房",3室2厅2卫,92㎡,南北,中层(共32层),2017年建造,岚峰,南山,西丽,龙苑路3号,"南北,满五年,近地铁,车位充足",260,28261元/㎡
凯旋城双龙抱珠大四房，业主急售！宝实验课本，看房随时.,4室2厅2卫,130㎡,南北,中层(共30层),2010年建造,金泓凯旋城,宝安,宝安中心区,新安一路20号,"南北,满五年,近地铁,采光较好",890,68462元/㎡
福田中心区23年次新小区，现在业主急出,3室2厅2卫,98.31㎡,南,高层(共48层),2023年建造,福安瑞府,福田,福田中心区,彩田路,"南,热门小区,近地铁,新上小区",838,85241元/㎡
中海寰宇新出精装三房交付标准未入住过看房方便,3室2厅2卫,89.64㎡,南北,低层(共36层),2020年建造,中海寰宇时代,光明,光明,明政路,"南北,满五年,近地铁,次新房",395,44066元/㎡
幸福里95平 两房620万业主诚心卖,2室2厅2卫,95.02㎡,北,低层(共48层),2009年建造,幸福里,罗湖,蔡屋围,宝安南路1661号,"北,满二年,近地铁,车位充足",620,65250元/㎡
福田CBD 次新 带电梯 出行方便 临地铁 满五  精装好房,4室2厅2卫,128㎡,南北,低层(共32层),2023年建造,佳兆业佳园,福田,福田中心区,中心二路1号,"南北,满五年,近地铁,次新房",958,74844元/㎡
单价5字头龙华价格买南山，来电立享85加额外优惠,3室2厅2卫,129㎡,西北,,2024年建造,开云府(新房),南山,海上世界,赤湾六路东北侧,"主卧套房,厨卫全明,卧室全朝南,购物中心",1161,90000元/㎡
翰熙典居！粤海街道！800！来电省50电话约看还有一个点,3室2厅2卫,105㎡,东南,,2028年建造,翰熙典居,南山,南山中心区,粤海街道桂庙新村东门,"主卧套房,客餐厅相连,卧室全朝南,多轨交",1066,101524元/㎡
缦悦皇岗新规产品，来电立享9折，还有额外30万团购,3室2厅2卫,92㎡,东,,2028年建造,卓越缦悦,福田,福田中心区,福民路38号,"厨卫全明,私密性好,卧室全朝南,多轨交",1058,115000元/㎡
地铁站 仁恒公园世纪 103平方四房 满五 朝南 次新房,4室2厅2卫,103.15㎡,南,中层(共32层),2020年建造,仁恒公园世纪(一期),龙岗,爱联,龙岗大道,"南,房东发布,满五年,近地铁",458,44402元/㎡
前海花园 交通便捷 双卫格局 精装修 产权清晰 高楼层视野好,3室2厅2卫,90.94㎡,北,高层(共7层),1999年建造,前海花园,南山,前海,桃园路288号,"北,满五年,近地铁,采光较好",530,58281元/㎡
南山观山海家园新规产品项目！来电立享91折还有额外20万团购,3室2厅2卫,95㎡,南,,2026年建造,观山海家园,南山,前海,招商兴海大道东侧，沿山路南侧,"厨卫全明,主卧套房,南北通透,轨交房",741,78000元/㎡
南向采光好 交通便捷 电梯房 环境好 小三房 商品住宅,3室2厅1卫,94.77㎡,南,低层(共15层),2004年建造,万裕椰风海岸家园,南山,前海,桃李路33号,"南,满五年,近地铁,绿化率高",555,58563元/㎡
深业东岭 正规三房，地铁口物业，精装修 带翠园本,3室2厅2卫,85.83㎡,西北,高层(共45层),2018年建造,深业东岭,罗湖,黄贝岭,深南东路1002号,"西北,热门小区,近地铁,新上小区",423,49284元/㎡
前海 星海名城 临地铁 商品房 医疗配套成熟 双卫 环境好,3室2厅2卫,90.6㎡,东北,中层(共9层),2000年建造,星海名城(一期),南山,前海,前海路3101号,"东北,满五年,近地铁,绿化率高",496,54747元/㎡
随时可看翠岭华庭精装4居 总价税费低交通便利,4室2厅2卫,109㎡,南北,低层(共30层),2016年建造,翠岭华庭,龙华,龙华,新区大道3号,"南北,满五年,近地铁,多人关注",235,21560元/㎡
还能谈个20多万，中心区单价4万的房子，带红岭  ，大三房,3室2厅2卫,100.2㎡,东北,低层(共25层),2002年建造,众孚大厦,福田,石厦,福民路139号,"东北,满五年,近地铁,采光较好",430,42915元/㎡
长圳地铁900  业主急卖光明1号  户型方正 3室2厅,3室2厅2卫,88.81㎡,西南,低层(共33层),2016年建造,光明1号,光明,光明,光明大道,"西南,满五年,近地铁,车位充足",235,26461元/㎡
新天南向看海3房，已经出证，看房随时方便，片区,3室2厅1卫,88.07㎡,南,高层(共40层),2024年建造,新天石厦铭苑,福田,石厦,石厦路,"南,有电梯,近地铁,次新房",599,68015元/㎡
业主诚心出售，看房方便,2室2厅2卫,95.68㎡,西北,中层(共48层),2009年建造,幸福里,罗湖,蔡屋围,宝安南路1661号,"西北,热门小区,南北通透,优势户型",720,75251元/㎡
佳兆业云峰汇三房诚心出售,3室2厅2卫,88.53㎡,南,低层(共37层),2023年建造,佳兆业云峰汇花园,光明,光明,光明大街,"南,房东发布,满二年,近地铁",348,39309元/㎡
留仙苑~温馨有家~端正大气~装修好~业主诚意卖~  停车免费,3室2厅2卫,78㎡,东南,中层(共9层),2014年建造,留仙苑,南山,西丽,沙河西路3291号,"东南,满五年,近地铁,车位充足",179.8,23052元/㎡
中骏四季阳光三期 商品房 精装可拎包入住 朝南 商圈成熟,2室2厅1卫,67.25㎡,南,低层(共24层),2016年建造,中骏四季阳光三期,龙岗,同乐,同富路,"南,满五年,近地铁,户型方正",142,21116元/㎡
总层11楼小高层住宅公园环绕，地铁便捷多所  环绕居家,3室2厅2卫,94.21㎡,南,低层(共11层),2021年建造,深铁瑞城,光明,光明,光侨路,"南,满二年,近地铁,次新房",448,47554元/㎡
园岭加红岭双本部，业主置换诚心出售，看房方便价格好谈！,3室2厅1卫,84.33㎡,南,中层(共8层),1983年建造,园岭新村,福田,园岭,笋岗西路2057号,"南,满五年,近地铁,采光较好",498,59054元/㎡
西荟城大3房 高使用率 280可以谈,3室2厅2卫,89.99㎡,南,低层(共32层),2013年建造,西荟城三期,宝安,沙井,"新沙路,近教育北路","南,热门小区,配套成熟,价格优惠",310,34449元/㎡
花样年好时光(一期) 医疗配套成熟 车位充足 楼层好,2室2厅1卫,71.97㎡,南北,高层(共43层),2022年建造,花样年好时光(一期),坪山,坪山,东纵路403号,"南北,满五年,近地铁,车位充足",144,20009元/㎡
大东城(二期) 小区新 电梯房 小三房 满五   近地铁,3室2厅1卫,77.54㎡,南北,中层(共33层),2016年建造,大东城(二期),坪山,坪山,行政九路2号,"南北,满五年,近地铁,户型方正",89.9,11595元/㎡
月供顶~不住啦 只要165 坪山中心区双地铁口精装大三房,3室2厅2卫,99.7㎡,南北,中层(共43层),2022年建造,花样年好时光(一期),坪山,坪山,东纵路403号,"南北,满二年,近地铁,车位充足",165,16550元/㎡
石厦小高层7xx南北通电梯四房，业主是我大哥认识10年诚心,4室2厅2卫,129㎡,南北,中层(共7层),1997年建造,信托花园,福田,石厦,石厦北一街10号,"南北,唯一住房,近地铁,采光较好",799,61938元/㎡
前海花园 高使用率三房 满五    临地铁 交通便捷,3室2厅1卫,81.09㎡,西,低层(共18层),2004年建造,前海花园,南山,前海,桃园路288号,"西,满五年,近地铁,户型方正",498,61414元/㎡
高层朝南 3房2卫 次新小区 满5年   花园大 急卖,3室2厅2卫,85.99㎡,南,高层(共32层),2019年建造,佳兆业御景佳园(一期),盐田,盐田,洪安路,"南,热门小区,价格优惠,房东急售",252,29306元/㎡
蔚蓝铂樾府 正规商品房 小三房 交通便利 次新小区,3室2厅1卫,85.98㎡,西南,中层(共30层),2023年建造,卓越蔚蓝铂樾府,大鹏新区,葵涌,金葵东路,"西南,满五年,车位充足",179,20819元/㎡
产证已出 双卫格局 医疗配套成熟 精装修 南北通透,3室2厅2卫,115㎡,南北,高层(共56层),2024年建造,御龙天地,罗湖,翠竹,华丽路,"南北,近地铁,次新房",720,62609元/㎡
颐安都会中央(二期) 出行方便 临地铁 楼龄新 车位充足,2室2厅1卫,77㎡,南北,中层(共29层),2014年建造,颐安都会中央(二期),龙岗,大运,"龙岗大道,近爱南路","南北,满五年,近地铁,车位充足",296,38442元/㎡
鸿荣源次新小区大三房急售，可谈价，装修好,3室2厅2卫,88.27㎡,西南,低层(共48层),2020年建造,壹成中心第三区,龙华,龙华中心区,工业路,"西南,满五年,近地铁,采光较好",398,45089元/㎡
祥云花园~正规3室2厅~楼层好~户型方正~房龄新,3室2厅2卫,79㎡,南北,高层(共17层),2008年建造,祥云花园,南山,南头,中祥路10号,"南北,满五年,近地铁,多人关注",150,18988元/㎡
